"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"34",1,"lossavers","2",-0.208005295873614,0.0942820123635436,-2.20620339616388,0.0273697616016058,5.19127332130053,-0.39279464449612,-0.023215947251109,0,0.359184774708976,0.359163974179389,0.359174374421471,8.75901875901876,0.517797024713622,4
"35",2,"lossavers","2",-0.208813649459905,0.0949265583398248,-2.19973896780687,0.0278254203671011,5.16745270680943,-0.394866284982301,-0.0227610139375078,0.1,0.369618783277498,0.369597901912552,0.369608342579263,8.75901875901876,0.517797024713622,4
"36",3,"lossavers","2",-0.209344457934857,0.0957616508431179,-2.18609909177335,0.0288083564351374,5.11736883509141,-0.397033844687468,-0.0216550711822462,0.2,0.380088200979441,0.380067266533647,0.380077733747783,8.75901875901876,0.517797024713622,4
"37",4,"lossavers","2",-0.209596347527929,0.0963427476273015,-2.17552802561481,0.0295905702993205,5.07871868790079,-0.398424663049072,-0.0207680320067868,0.3,0.390579186293145,0.390558226658392,0.390568706474021,8.75901875901876,0.517797024713622,4
"38",5,"lossavers","2",-0.209569500495554,0.0972995669597819,-2.15385851184907,0.0312512694079543,4.9999413973963,-0.40027314744807,-0.0188658535430386,0.4,0.401077864104428,0.401056907154378,0.401067385634644,8.75901875901876,0.517797024713622,4
"39",6,"lossavers","2",-0.209265646552992,0.0978577606160388,-2.13846755980939,0.0324788143060701,4.94435722430756,-0.40106333296817,-0.0174679601378137,0.5,0.411570402922949,0.411549476358293,0.411559939652785,8.75901875901876,0.517797024713622,4
"40",7,"lossavers","2",-0.20868803611851,0.0985252063029286,-2.11811823541755,0.0341650555369828,4.87133471778832,-0.401793892041628,-0.0155821801953907,0.6,0.422043091244208,0.422022222440597,0.422032656861388,8.75901875901876,0.517797024713622,4
"41",8,"lossavers","2",-0.207841395953312,0.0994924914578954,-2.08901589363926,0.0367062924893265,4.76782878706108,-0.402843095942946,-0.0128396959636782,0.7,0.432482412166037,0.432461628026442,0.432472020121907,8.75901875901876,0.517797024713622,4
"42",9,"lossavers","2",-0.206731868187537,0.100131014754129,-2.06461373326901,0.0389595627938827,4.68187870225787,-0.40298505084108,-0.0104786855339949,0.8,0.442875115407042,0.442854442220223,0.442864778845808,8.75901875901876,0.517797024713622,4
"43",10,"lossavers","2",-0.205366933965223,0.100916546327936,-2.03501746183295,0.0418491160013469,4.57865904140634,-0.403159730212145,-0.00757413771830134,0.9,0.453208285929542,0.453187749236145,0.453198017621321,8.75901875901876,0.517797024713622,4
"44",11,"lossavers","2",-0.203755323281984,0.101608626297629,-2.0052955217124,0.0449314633036882,4.47613014223349,-0.402904571343926,-0.00460607522004244,1,0.463469408439329,0.463449032907001,0.463459220717709,8.75901875901876,0.517797024713622,4
"45",1,"riskaverse","2",0.104116667074635,0.0970389802235883,1.07293653369748,0.283299592861686,1.81959956651003,-0.0860762392600924,0.294309573409363,0,0.359170588363988,0.359178160485455,0.359174374421471,8.75901875901876,0.517797024713622,4
"46",2,"riskaverse","2",0.104539798982429,0.0998075624168199,1.047413607256,0.294908858556149,1.76165893575297,-0.0910794287392711,0.30015902670413,0.1,0.369604541134256,0.369612144028954,0.369608342579263,8.75901875901876,0.517797024713622,4
