"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","lossavers","predicted_lo","predicted_hi","predicted","trust","riskaverse","Strategies3"
"11",11,"lossavers","1",-0.0592985529056234,0.0463316162491118,-1.27987231411898,0.200590046046796,2.31767807854458,-0.150106852099413,0.0315097462881664,1,0.116149134068227,0.116143204212936,0.116146169143183,8.75901875901876,0.507674153491016,4
"12",1,"riskaverse","1",0.0185543838140229,0.0852846540776535,0.217558293630748,0.827773282932583,0.272692409743526,-0.148600466612135,0.185709234240181,0,0.168189413174734,0.168190762584506,0.168190087885086,8.75901875901876,0.507674153491016,4
"13",2,"riskaverse","1",0.0201604527486529,0.0835762554576811,0.241222254314338,0.80938286364143,0.305105790482498,-0.143645997911121,0.183966903408427,0.1,0.164072871946861,0.16407433816165,0.164073605059511,8.75901875901876,0.507674153491016,4
"14",3,"riskaverse","1",0.0216888412906342,0.0816703784771953,0.265565578304383,0.790573798421743,0.339027953432612,-0.138382159128424,0.181759841709692,0.2,0.159646490785006,0.159648068155329,0.159647279475135,8.75901875901876,0.507674153491016,4
"15",4,"riskaverse","1",0.0231161738826812,0.079338160805545,0.291362613501189,0.770774004824853,0.375620178861773,-0.132383763895834,0.178616111661197,0.3,0.154928610130171,0.154930291306503,0.15492945072294,8.75901875901876,0.507674153491016,4
"16",5,"riskaverse","1",0.0244200129953301,0.0773440405313689,0.315732315347889,0.752205696313744,0.410800863206733,-0.127171520864959,0.176011546855619,0.4,0.14994216750676,0.149943943507758,0.149943055511425,8.75901875901876,0.507674153491016,4
"17",6,"riskaverse","1",0.0255796856378921,0.074515015352136,0.343282297091533,0.731386097435908,0.451294891438732,-0.120467060759744,0.171626432035528,0.5,0.144714420614237,0.144716280955066,0.144715350788318,8.75901875901876,0.507674153491016,4
"18",7,"riskaverse","1",0.0265770796393874,0.0730107129348982,0.364016163807159,0.715845939268736,0.482278963498941,-0.116521288198606,0.169675447477381,0.6,0.139276506658243,0.13927843953682,0.139277473100642,8.75901875901876,0.507674153491016,4
"19",8,"riskaverse","1",0.0273973563932484,0.0704153304494197,0.38908226686415,0.697215290986074,0.520323884592051,-0.110614155247101,0.165408868033598,0.7,0.133662849544115,0.133664842079185,0.13366384581416,8.75901875901876,0.507674153491016,4
"20",9,"riskaverse","1",0.0280295302645539,0.0675867507938159,0.414719304232607,0.678347398962272,0.559903791434451,-0.104438067123409,0.160497127652517,0.8,0.127910437006646,0.127912475517999,0.127911456264204,8.75901875901876,0.507674153491016,4
"21",10,"riskaverse","1",0.0284668735845443,0.0652257388352622,0.436436199771409,0.662520279379491,0.593963479550655,-0.0993732253975851,0.156306972566674,0.9,0.122057998953059,0.1220600692712,0.122059034113366,8.75901875901876,0.507674153491016,4
"22",11,"riskaverse","1",0.0287071195004184,0.0624621411547968,0.459592306150296,0.645808882663286,0.630820810506943,-0.0937164275602405,0.151130666561077,1,0.116145125247307,0.116147213037878,0.116146169143183,8.75901875901876,0.507674153491016,4
"23",1,"trust","1",0.0116659221007474,0.00338140334739284,3.45002382213356,0.000560537087513721,10.8009025485312,0.00503849332265429,0.0182933508788406,0,0.168180755322968,0.168199420798329,0.168190087885086,8.75901875901876,0.507674153491016,4
"24",2,"trust","1",0.0116316996487918,0.00313825156476265,3.70642678216,0.000210203968061257,12.215922475957,0.00548083960743056,0.0177825596901531,0.1,0.164064299880734,0.164082910600172,0.164073605059511,8.75901875901876,0.507674153491016,4
"25",3,"trust","1",0.0115725970806745,0.00293253945503756,3.94627157046255,7.93775789048659e-05,13.6209089150622,0.00582492536555812,0.0173202687957908,0.2,0.159638021583901,0.15965653773923,0.159647279475135,8.75901875901876,0.507674153491016,4
"26",4,"trust","1",0.0114866126505603,0.00277757680240087,4.13547976085901,3.54213834074488e-05,14.7850199157606,0.00604266215356065,0.0169305631475599,0.3,0.154920261624743,0.154938640204984,0.15492945072294,8.75901875901876,0.507674153491016,4
"27",5,"trust","1",0.0113720748340547,0.00268015289819465,4.24306943149211,2.20483182965222e-05,15.468971853928,0.00611907168053254,0.0166250779875769,0.4,0.149933958048865,0.149952153368599,0.149943055511425,8.75901875901876,0.507674153491016,4
"28",6,"trust","1",0.0112277344752748,0.00265098501368466,4.23530665670159,2.28240013695456e-05,15.4190887358362,0.00603189932489744,0.0164235696256522,0.5,0.144706368803186,0.144724333178346,0.144715350788318,8.75901875901876,0.507674153491016,4
"29",7,"trust","1",0.0110528460567014,0.00268942715893226,4.10973988270778,3.96105049264548e-05,14.62375738263,0.00578166568615027,0.0163240264272525,0.6,0.139268631031007,0.139286315584698,0.139277473100642,8.75901875901876,0.507674153491016,4
"30",8,"trust","1",0.0108472317496278,0.00278951823652463,3.88856814327265,0.00010083736001789,13.2756821263609,0.00537987647182181,0.0163145870274337,0.7,0.133655168240215,0.133672523811015,0.13366384581416,8.75901875901876,0.507674153491016,4
"31",9,"trust","1",0.0106113227595767,0.00294354278877286,3.60494938278116,0.000312213773690144,11.6451781945842,0.00484208490662925,0.0163805606125241,0.8,0.12790296742104,0.127919945537455,0.127911456264204,8.75901875901876,0.507674153491016,4
"32",10,"trust","1",0.0103461739806802,0.00313637419545203,3.29876900392909,0.000971097860541436,10.008095691728,0.00419899351555341,0.0164933544458069,0.9,0.122050757392032,0.122067311270401,0.122059034113366,8.75901875901876,0.507674153491016,4
"33",11,"trust","1",0.0100534499725396,0.00335494727543605,2.99660446116337,0.00273004684706045,8.51685857694483,0.00347787414265414,0.016629025802425,1,0.116138126602973,0.116154212122929,0.116146169143183,8.75901875901876,0.507674153491016,4
"34",1,"lossavers","2",-0.190626516017867,0.102981431380126,-1.85107658209007,0.064158536534321,3.9622149556932,-0.392466412599296,0.0112133805635632,0,0.516970716170147,0.516951653518545,0.516961184916673,8.75901875901876,0.507674153491016,4
"35",2,"lossavers","2",-0.196059717061936,0.102707813932799,-1.9089075071758,0.0562740244256371,4.15138704864163,-0.397363333301064,0.0052438991771919,0.1,0.497630635029582,0.497611029057876,0.497620832106996,8.75901875901876,0.507674153491016,4
"36",3,"lossavers","2",-0.200712971039629,0.102593338912809,-1.95639378897892,0.0504187832691723,4.30989488698311,-0.401792220362447,0.000366278283188498,0.2,0.477785285794697,0.477765214497593,0.477775250198993,8.75901875901876,0.507674153491016,4
"37",4,"lossavers","2",-0.204483018684254,0.101992783240785,-2.00487732746257,0.0449761630989541,4.47469559922857,-0.404385200519192,-0.00458083684931548,0.3,0.457517917451576,0.457497469149708,0.457507693341858,8.75901875901876,0.507674153491016,4
"38",5,"lossavers","2",-0.207280279764799,0.100441817848825,-2.06368506867105,0.0390475859597052,4.67862283043732,-0.404142625290229,-0.0104179342393687,0.4,0.436921456333189,0.436900728305212,0.436911092347766,8.75901875901876,0.507674153491016,4
"39",6,"lossavers","2",-0.209032811375187,0.0981810806056289,-2.1290538878343,0.0332498022448038,4.9105104296508,-0.401464193325444,-0.0166014294249305,0.5,0.416096936778563,0.416076033497426,0.416086485153136,8.75901875901876,0.507674153491016,4
"40",7,"lossavers","2",-0.209689680953917,0.095568966151483,-2.19411896348806,0.0282268583084309,5.14678762616865,-0.397001412650551,-0.0223779492572831,0.6,0.395151562911014,0.395130593942918,0.395141078428189,8.75901875901876,0.507674153491016,4
"41",8,"lossavers","2",-0.209223497203426,0.0916798381018782,-2.28211023857752,0.0224828326749546,5.4750323735819,-0.38891267799157,-0.0295343164152816,0.7,0.374196473215772,0.374175550866052,0.374186012028029,8.75901875901876,0.507674153491016,4
"42",9,"lossavers","2",-0.20763189505002,0.0869804634422896,-2.38710955118998,0.0169814301693988,5.87989822255563,-0.37811047075551,-0.0371533193445296,0.8,0.353344302861842,0.353323539672337,0.353333921240231,8.75901875901876,0.507674153491016,4
"43",10,"lossavers","2",-0.204937847759212,0.0815706027527165,-2.51239834993603,0.0119913645491619,6.38186035118145,-0.36481329135176,-0.0450624041666643,0.9,0.332706655425718,0.332686161640942,0.332696408492937,8.75901875901876,0.507674153491016,4
"44",11,"lossavers","2",-0.201188772410155,0.0751955181938956,-2.67554207009225,0.00746085087252178,7.06644411268466,-0.348569279869016,-0.0538082649512929,1,0.312391603801866,0.312371484924625,0.312381544310058,8.75901875901876,0.507674153491016,4
"45",1,"riskaverse","2",0.0957886307025796,0.112213461764095,0.853628692999018,0.393310755136452,1.34625845737371,-0.124145712935609,0.315722974340768,0,0.516957701684411,0.516964668130487,0.516961184916673,8.75901875901876,0.507674153491016,4
"46",2,"riskaverse","2",0.0984534011689843,0.111273888096189,0.884784407675927,0.376272920629306,1.41014862870655,-0.119639411919287,0.316546214257256,0.1,0.497617251975183,0.497624412222754,0.497620832106996,8.75901875901876,0.507674153491016,4
"47",3,"riskaverse","2",0.100728657719149,0.111061683917448,0.906961376472745,0.36442722230396,1.45629736402389,-0.116948242821419,0.318405558259718,0.2,0.477771587331949,0.477778913052729,0.477775250198993,8.75901875901876,0.507674153491016,4
"48",4,"riskaverse","2",0.102563299349018,0.110306209606843,0.929805309370864,0.35247189684929,1.5044198611843,-0.11363289875152,0.318759497449555,0.3,0.4575039637621,0.457511422911366,0.457507693341858,8.75901875901876,0.507674153491016,4
"49",5,"riskaverse","2",0.103913056385455,0.109377766563371,0.950038199264652,0.342092843230877,1.54754017243406,-0.110463426788182,0.318289539559092,0.4,0.436907313687594,0.436914871001011,0.436911092347766,8.75901875901876,0.507674153491016,4
"50",6,"riskaverse","2",0.104742452742727,0.107846522494459,0.971217711244318,0.331439875979304,1.59318090929612,-0.106632847204301,0.316117752689756,0.5,0.416082676334856,0.41609029396801,0.416086485153136,8.75901875901876,0.507674153491016,4
"51",7,"riskaverse","2",0.105026475963226,0.10588606564139,0.991881937694479,0.321255121104068,1.63820864250285,-0.102506399158541,0.312559351084994,0.6,0.395137259283615,0.395144897573004,0.395141078428189,8.75901875901876,0.507674153491016,4
"52",8,"riskaverse","2",0.104751827700896,0.104142869350382,1.00584733601362,0.314489012855315,1.6689184796144,-0.099364445472512,0.308868100874305,0.7,0.374182202872511,0.37418982118748,0.374186012028029,8.75901875901876,0.507674153491016,4
"53",9,"riskaverse","2",0.103917653683971,0.102155889590963,1.01724583966781,0.309036494356718,1.69415087773317,-0.0963042107229663,0.304139518090907,0.8,0.35333014242014,0.353337700067905,0.353333921240231,8.75901875901876,0.507674153491016,4
"54",10,"riskaverse","2",0.102535690521631,0.0996964013206671,1.02847935495516,0.30372439726261,1.71916529439623,-0.0928656654551283,0.29793704649839,0.9,0.33269267992782,0.332700137069171,0.332696408492937,8.75901875901876,0.507674153491016,4
"55",11,"riskaverse","2",0.100629813012039,0.0967494866981142,1.0401069447121,0.298290217552462,1.74521142971832,-0.0889956964390016,0.29025532246308,1,0.312377885051247,0.312385203583321,0.312381544310058,8.75901875901876,0.507674153491016,4
"56",1,"trust","2",0.00336857708997662,0.00451307597971678,0.74640380643182,0.455423520566237,1.13471929281113,-0.00547688928976109,0.0122140434697143,0,0.516958489805772,0.516963879529116,0.516961184916673,8.75901875901876,0.507674153491016,4
"57",2,"trust","2",0.00400473341339441,0.00432747061261209,0.925421284600503,0.354746811467052,1.4951383777653,-0.00447695313148077,0.0124864199582696,0.1,0.497617628079053,0.497624035652515,0.497620832106996,8.75901875901876,0.507674153491016,4
"58",3,"trust","2",0.00460724098445137,0.00417729350757819,1.10292489050463,0.270059784074728,1.88864927783097,-0.00358010384325488,0.0127945858121576,0.2,0.477771564174987,0.477778935760563,0.477775250198993,8.75901875901876,0.507674153491016,4
"59",4,"trust","2",0.00516778029983206,0.00405867851155687,1.27326672588555,0.202923409841518,2.3009927866479,-0.00278708340764604,0.0131226440073102,0.3,0.457503558898294,0.457511827346774,0.457507693341858,8.75901875901876,0.507674153491016,4
"60",5,"trust","2",0.00567862300304006,0.00397452911014465,1.4287536575203,0.153075049574256,2.70768894457022,-0.00211131090834948,0.0134685569144296,0.4,0.436906549243693,0.436915635040498,0.436911092347766,8.75901875901876,0.507674153491016,4
