"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"11",11,"lossavers","1",-0.0476725488529617,0.074631332957642,-0.638773916580304,0.522970018914695,0.935199853583208,-0.193947273568157,0.0986021758622338,1,0.15572219272832,0.155717425473435,0.155719809135223,8.75901875901876,0.517797024713622,4
"12",1,"riskaverse","1",0.0279539282848406,0.0629736077618738,0.44389910755224,0.657115529815368,0.605781056700416,-0.095472074904984,0.151379931474665,0,0.130075345550622,0.130077378563649,0.130076362059213,8.75901875901876,0.517797024713622,4
"13",2,"riskaverse","1",0.0276160375744726,0.065177085753904,0.423707768689527,0.67177894881492,0.573941507585517,-0.100128703120458,0.155360778269403,0.1,0.132854249525106,0.132856257964263,0.132855253747074,8.75901875901876,0.517797024713622,4
"14",3,"riskaverse","1",0.0272314581280712,0.0672814466714908,0.404739485775802,0.68566901449678,0.544415766852871,-0.104637754175803,0.159100670431945,0.2,0.135597022752625,0.135599003222366,0.13559801299019,8.75901875901876,0.517797024713622,4
"15",4,"riskaverse","1",0.0268013923784067,0.070183021461528,0.381878577186911,0.702551431163967,0.509324251376997,-0.11075480201239,0.164357586769203,0.3,0.138299054282272,0.138301003474503,0.138300028881379,8.75901875901876,0.517797024713622,4
"16",5,"riskaverse","1",0.0263272956403668,0.0721628387492408,0.364831762395763,0.715236993923201,0.483506736485149,-0.115109269330317,0.16776386061105,0.4,0.14095586614039,0.140957780852858,0.1409568234999,8.75901875901876,0.517797024713622,4
"17",6,"riskaverse","1",0.0258108627841174,0.0745089497472561,0.346412919141541,0.729032417404844,0.455945127537645,-0.120223995246409,0.171845720814644,0.5,0.143563137976682,0.143565015130395,0.143564076557089,8.75901875901876,0.517797024713622,4
"18",7,"riskaverse","1",0.0252540121719106,0.0769550658893671,0.328165688379976,0.742786389259022,0.428980715166555,-0.125575145399156,0.176083169742977,0.6,0.146116730238834,0.14611856689432,0.146117648570388,8.75901875901876,0.517797024713622,4
"19",8,"riskaverse","1",0.0246588671474408,0.078728596291707,0.31321360101575,0.754118385827802,0.407137071075361,-0.129646346137699,0.17896408043258,0.7,0.148612705616043,0.148614498988252,0.148613602306204,8.75901875901876,0.517797024713622,4
"20",9,"riskaverse","1",0.0240277353964179,0.0809977316360372,0.296647016047145,0.766736012033662,0.38319815299565,-0.134724901439656,0.182780372232491,0.8,0.151047348522201,0.151049095993918,0.151048222262346,8.75901875901876,0.517797024713622,4
