"treatment","session","id","period","endowment","belief_attack","belief_arming","production","arming","attack","opponent_production","opponent_arming","opponent_attack","conflict","rel_arming","arm_def","arm_att","unarmed_peace","choose_UP","win_conflict","comp1","comp2","likestowin","compulsive","trust","auszahlung","age","male","playerdem_study","bachelor","playerdem_understand","attack_profit","attack_spite","attack_super","attack_fight1","attack_fight2","attack_encourage","attack_chance","attack_mistake","attack_understand","noattack_risk","noattack_efficient","noattack_ownprofit","noattack_otherprofit","noattack_discourage","noattack_mistake","noattack_understand","arming_attack","arming_security","arming_noattack","arming_inefficient","arming_unequala1","arming_unequala2","arming_unequalb1","arming_unequalb2","arming_understand","indep_obs","Strategies3","choose_UC","choose_AP","choose_AC","riskaverse","econstudent","trustworth","no_cointosses","lossavers","lossavers_rel_orig","weird_LossAversion","mulSw_LossAversion","lossaversion_ordinal","X_score","Y_score","EET_type","EET_type_new","check_dec","check_game","belief_UP","reg_bel_arm","reg_bel_att","correct_beliefs","Altruist","Selfish","Maximin","armed_peace","armed_conflict"
0,15,22,7,120,NA,NA,40,80,1,40,40,0,1,0.666666686534882,NA,80,0,0,1,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,4,0,0,1,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,30,0,0,0,0,1,0,1
0,15,22,6,120,NA,NA,70,50,1,15,65,1,1,0.416666656732559,NA,50,0,0,0,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,4,0,0,1,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,30,0,0,0,0,1,0,1
0,15,22,2,120,NA,NA,80,40,0,50,30,0,0,0.333333343267441,40,NA,0,0,NA,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,2,0,1,0,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,30,0,0,0,0,1,1,0
0,15,22,3,120,NA,NA,50,70,1,40,40,0,1,0.583333313465118,NA,70,0,0,1,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,4,0,0,1,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,30,0,0,0,0,1,0,1
0,15,22,1,120,0,30,70,50,1,20,60,1,1,0.416666656732559,NA,50,0,0,0,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,4,0,0,1,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,0,30,0,0,0,0,1,0,1
0,29,29,1,80,1,120,79,1,0,70,50,1,1,0.0125000001862645,1,NA,0,0,0,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,2,0,1,0,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,0,120,1,1,0,1,0,0,1
0,29,29,7,80,NA,NA,0,80,1,60,60,0,1,1,NA,80,0,0,1,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,4,0,0,1,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,NA,120,1,1,0,1,0,0,1
0,29,29,5,80,NA,NA,0,80,1,80,40,0,1,1,NA,80,0,0,0,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,4,0,0,1,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,NA,120,1,1,0,1,0,0,1
0,29,29,3,80,NA,NA,0,80,1,65,55,1,1,1,NA,80,0,0,1,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,4,0,0,1,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,NA,120,1,1,0,1,0,0,1
0,29,29,6,80,NA,NA,80,0,0,20,100,1,1,0,0,NA,0,1,0,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,1,0,0,0,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,NA,120,1,1,0,1,0,0,1
0,29,29,4,80,NA,NA,0,80,1,50,70,1,1,1,NA,80,0,0,1,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,4,0,0,1,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,NA,120,1,1,0,1,0,0,1
0,29,29,2,80,NA,NA,80,0,0,50,70,1,1,0,0,NA,0,1,0,6,5,8,3,6,13.5,19,0,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,1,29,1,0,0,0,0.636363625526428,0,0.333333343267441,5,NA,0.833333313465118,1,0,98,0.5,0.5,9,2,1,0,NA,120,1,1,0,1,0,0,1
0,1,36,2,80,NA,NA,35,45,0,70,50,1,1,0.5625,45,NA,0,0,1,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,2,0,1,0,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,60,1,1,0,0,1,0,1
0,1,36,7,80,NA,NA,45,35,0,100,20,0,0,0.4375,35,NA,0,0,NA,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,2,0,1,0,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,60,1,1,0,0,1,1,0
0,1,36,6,80,NA,NA,40,40,0,100,20,0,0,0.5,40,NA,0,0,NA,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,2,0,1,0,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,60,1,1,0,0,1,1,0
0,1,36,3,80,NA,NA,30,50,0,80,40,1,1,0.625,50,NA,0,0,1,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,2,0,1,0,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,60,1,1,0,0,1,0,1
0,1,36,1,80,1,60,20,60,1,90,30,1,1,0.75,NA,60,0,0,1,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,4,0,0,1,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,0,60,1,1,0,0,1,0,1
0,1,36,5,80,NA,NA,50,30,1,50,70,0,1,0.375,NA,30,0,0,1,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,4,0,0,1,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,60,1,1,0,0,1,0,1
0,1,36,4,80,NA,NA,37,43,0,90,30,0,0,0.537500023841858,43,NA,0,0,NA,2,8,10,7,4,17.5,20,0,3,1,3,4,2,1,1,4,1,1,1,1,5,5,5,4,5,1,1,2,5,1,1,3,3,NA,NA,1,1,2,0,1,0,0.545454561710358,0,0.333333343267441,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,60,1,1,0,0,1,1,0
0,15,43,2,80,NA,NA,20,60,1,60,60,1,1,0.75,NA,60,0,0,1,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,100,1,0,0,0,1,0,1
0,15,43,6,80,NA,NA,15,65,1,70,50,1,1,0.8125,NA,65,0,0,1,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,100,1,0,0,0,1,0,1
0,15,43,1,80,1,100,25,55,1,110,10,0,1,0.6875,NA,55,0,0,1,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,0,100,1,0,0,0,1,0,1
0,15,43,7,80,NA,NA,15,65,1,15,105,1,1,0.8125,NA,65,0,0,0,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,100,1,0,0,0,1,0,1
