"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","trust","predicted_lo","predicted_hi","predicted","riskaverse","lossavers","Strategies3"
"11",2,"riskaverse","1",0.0194655172242301,0.0459280598451521,0.423826246740201,0.671692535037368,0.57412709950914,-0.0705518259520682,0.109482860400529,2,0.0819647893261307,0.0819662050001529,0.0819654971639239,0.507674153491016,0.517797024713622,4
"12",3,"riskaverse","1",0.0214958615039269,0.0534216241450187,0.402381280014515,0.687403444830033,0.540771013286619,-0.083208597815945,0.126200320823799,4,0.0974715420970829,0.0974731054325116,0.0974723237662572,0.507674153491016,0.517797024713622,4
"13",4,"riskaverse","1",0.0234277549456753,0.0617919904349593,0.37913902401857,0.704584628784133,0.505155093541283,-0.0976823208398884,0.144537830731239,6,0.115250393757894,0.115252097594668,0.11525124567855,0.507674153491016,0.517797024713622,4
"14",5,"riskaverse","1",0.0251742957790306,0.0705317755623993,0.356921339046101,0.721150694191117,0.471627333277443,-0.113065444088934,0.163414035646996,8,0.13544344421204,0.13544527506997,0.135444359644199,0.507674153491016,0.517797024713622,4
"15",6,"riskaverse","1",0.0266435136131586,0.0805528433489196,0.330758201765152,0.740827135559413,0.432791151229802,-0.131237158203021,0.184524185429338,10,0.158149534768453,0.158151472478592,0.158150503627732,0.507674153491016,0.517797024713622,4
"16",7,"riskaverse","1",0.0277450992759769,0.0904717542196691,0.306671397225378,0.759093503080195,0.397650491036245,-0.149576280612734,0.205066479164688,12,0.183411394854485,0.183413412679947,0.183412403772492,0.507674153491016,0.517797024713622,4
"17",8,"riskaverse","1",0.0283984043133302,0.100753083067823,0.281861392710073,0.778049793888096,0.362065606646798,-0.169074009830975,0.225870818457635,14,0.211204216886302,0.211206282224859,0.211205249561924,0.507674153491016,0.517797024713622,4
"18",9,"riskaverse","1",0.0285408160096432,0.111524190685346,0.255915921328389,0.7980157604696,0.325510855549009,-0.190042581138612,0.247124213157899,16,0.241427112718116,0.241429188413887,0.241428150573358,0.507674153491016,0.517797024713622,4
"19",1,"trust","1",0.00620990892688869,0.00064550650213108,9.62021127035476,6.56960881466083e-22,70.36661061925,0.00494473943092535,0.00747507842285203,0,0.0685534193753498,0.0685633552296329,0.068558387149711,0.507674153491016,0.517797024713622,4
"20",2,"trust","1",0.00721317083484004,0.000897449722281241,8.03740940105788,9.17576945746337e-16,49.9530203743106,0.00545420170123333,0.00897213996844674,2,0.0819597267953533,0.081971267868689,0.0819654971639239,0.507674153491016,0.517797024713622,4
